"","X","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"1",15499,2005,6059,0.69023473003475,0.738481283908226,0.639920386455298,365,0.342465753424658,0.580821917808219,0.073972602739726,0.00273972602739726,0,0,155,93,57,0,0.120547945205479,0.405479452054795,0,0.473972602739726,0,33.675687,117.777207,61.141454094924,51.2664234464529,76.6514738566083
"2",15500,2005,25001,0.713864098212367,0.771692304747838,0.648725292304998,233,0.725321888412017,0.197424892703863,0.0472103004291846,0.0300429184549356,0,0,174,87,42,0,0.00858369098712446,0.751072961373391,0,0.240343347639485,0,41.798819,70.211083,61.141454094924,51.2664234464529,76.6514738566083
"3",15501,2005,37089,0.914202957236294,0.947791105545498,0.864084715971228,53,1,0,0,0,0,0,37,29,17,0,0,0,0,0,1,35.336424,82.479634,61.141454094924,51.2664234464529,76.6514738566083
"4",15502,2005,27083,0.816181676605236,0.787738314214534,0.856791255707955,222,0.725225225225225,0.261261261261261,0.0135135135135135,0,0,0,115,69,42,0,0,0.509009009009009,0,0.490990990990991,0,44.409195,95.847268,61.141454094924,51.2664234464529,76.6514738566083
"5",15503,2005,27169,0.739614247923297,0.722430888183109,0.771807286719902,119,0.773109243697479,0.201680672268908,0.0168067226890756,0.00840336134453781,0,0,152,63,27,0,0,0,0,1,0,43.982268,91.776708,61.141454094924,51.2664234464529,76.6514738566083
"6",15504,2005,17179,0.925205656226795,0.929113165801436,0.925482394041515,359,0.785515320334262,0.144846796657382,0.0584958217270195,0.011142061281337,0,0,173,84,13,0,0,0,1,0,0,40.508074,89.51626,61.141454094924,51.2664234464529,76.6514738566083
"7",15505,2005,42077,0.722081976416073,0.701746993687017,0.75256167231448,365,0.476712328767123,0.438356164383562,0.073972602739726,0.010958904109589,0,0,166,96,53,0,0.0602739726027397,0.32054794520548,0.0684931506849315,0.550684931506849,0,40.614241,75.590627,61.141454094924,51.2664234464529,76.6514738566083
"8",15506,2005,13049,1.37213796965319,1.27735479591961,1.47847016458823,120,0.816666666666667,0.183333333333333,0,0,0,0,98,57,28,0,0,0,0,1,0,30.779904,82.139644,61.141454094924,51.2664234464529,76.6514738566083
"9",15507,2005,45051,0.971540603691501,1.01586899115144,0.906101445200742,119,0.53781512605042,0.453781512605042,0.00840336134453781,0,0,0,121,72,49,0,0,0,0,1,0,33.909269,78.976675,61.141454094924,51.2664234464529,76.6514738566083
"10",15508,2005,45015,1.18946457253154,1.14697991618992,1.22805336211601,341,0.873900293255132,0.117302052785924,0.00879765395894428,0,0,0,126,58,34,0,0,1,0,0,0,33.2077,79.953655,61.141454094924,51.2664234464529,76.6514738566083
"11",15509,2005,16023,1.09282377734325,0.891124637301632,1.13913112782468,111,1,0,0,0,0,0,29,18,8,0,0,0,0,1,0,43.6851,113.177627,61.141454094924,51.2664234464529,76.6514738566083
"12",15510,2005,16083,1.18381328503875,1.1754925521471,1.17585612000035,326,0.895705521472393,0.098159509202454,0.00613496932515337,0,0,0,114,52,27,0,0,0,0,1,0,42.352309,114.665639,61.141454094924,51.2664234464529,76.6514738566083
"13",15511,2005,4027,0.828814920473831,0.839298189149331,0.770763860042183,316,0.594936708860759,0.357594936708861,0.0474683544303797,0,0,0,140,80,46,0,0.0316455696202532,0.537974683544304,0,0,0.430379746835443,32.773942,113.910905,61.141454094924,51.2664234464529,76.6514738566083
"14",15512,2005,47031,1.21741946745658,1.22786913699652,1.21000564927386,59,1,0,0,0,0,0,47,39,31,0,0.0338983050847458,0.949152542372881,0.0169491525423729,0,0,35.488759,86.078219,61.141454094924,51.2664234464529,76.6514738566083
"15",15513,2005,47149,1.02543308284569,1.02642124596809,1.04158229121323,236,0.622881355932203,0.300847457627119,0.0720338983050847,0.00423728813559322,0,0,166,97,47,0,0,1,0,0,0,35.843369,86.417213,61.141454094924,51.2664234464529,76.6514738566083
"16",15514,2005,29189,0.707460003477815,0.73972253331807,0.686961411212949,365,0.495890410958904,0.356164383561644,0.117808219178082,0.0273972602739726,0.00273972602739726,0,203,115,51,0,0.183561643835616,0.446575342465753,0.10958904109589,0.249315068493151,0.010958904109589,38.640702,90.445954,61.141454094924,51.2664234464529,76.6514738566083
"17",15515,2005,28047,1.05051214139319,1.03996800774821,1.03915018965837,360,0.386111111111111,0.525,0.0805555555555556,0.00833333333333333,0,0,156,100,56,0,0,0.327777777777778,0,0.672222222222222,0,30.416536,89.083376,61.141454094924,51.2664234464529,76.6514738566083
"18",15516,2005,8067,0.869535027096707,0.861840872230337,0.871111373534552,365,0.608219178082192,0.378082191780822,0.0136986301369863,0,0,0,140,77,47,0,0.0219178082191781,0.956164383561644,0,0,0.0219178082191781,37.287367,107.839718,61.141454094924,51.2664234464529,76.6514738566083
"19",15517,2005,42029,0.734030869015294,0.758444339850187,0.706653204853596,251,0.462151394422311,0.378486055776892,0.127490039840637,0.0318725099601594,0,0,195,115,55,0,0,0.733067729083665,0,0.266932270916335,0,39.973965,75.749732,61.141454094924,51.2664234464529,76.6514738566083
"20",15518,2005,21145,1.1312933745709,1.08030363628596,1.21508178973787,365,0.63013698630137,0.315068493150685,0.0547945205479452,0,0,0,143,87,43,0,0.131506849315068,0.487671232876712,0.0465753424657534,0.254794520547945,0.0794520547945206,37.053688,88.712378,61.141454094924,51.2664234464529,76.6514738566083
"21",15519,2005,35027,0.870389926583199,0.932616003185893,0.783780049498238,112,1,0,0,0,0,0,47,28,11,0,0,0,0,1,0,33.740941,105.449083,61.141454094924,51.2664234464529,76.6514738566083
"22",15520,2005,48355,0.827324392835443,0.840724177333835,0.804349811330425,365,0.619178082191781,0.375342465753425,0.00547945205479452,0,0,0,113,71,46,0,0,0.304109589041096,0.0410958904109589,0.652054794520548,0.00273972602739726,27.739406,97.521643,61.141454094924,51.2664234464529,76.6514738566083
"23",15521,2005,27021,0.904969443435812,0.828334149383776,0.928502888976648,54,0.907407407407407,0.0925925925925926,0,0,0,0,73,48,17,0,0,0,0,1,0,46.951427,94.333773,61.141454094924,51.2664234464529,76.6514738566083
"24",15522,2005,23001,1.20247881686875,1.18375557472329,1.24004791061364,171,0.894736842105263,0.0935672514619883,0.0116959064327485,0,0,0,150,51,29,0,0,0.818713450292398,0,0,0.181286549707602,44.167681,70.207435,61.141454094924,51.2664234464529,76.6514738566083
"25",15523,2005,55127,0.914676641304833,0.971250857769183,0.860167552097166,186,0.612903225806452,0.268817204301075,0.10752688172043,0.010752688172043,0,0,161,105,46,0,0,1,0,0,0,42.66811,88.541731,61.141454094924,51.2664234464529,76.6514738566083
"26",15524,2005,32021,1.62163065397736,1.73829271377214,1.48680166965048,96,0.979166666666667,0.0208333333333333,0,0,0,0,81,36,18,0,0,0,0,1,0,38.516647,118.416279,61.141454094924,51.2664234464529,76.6514738566083
"27",15525,2005,53071,0.893505139492951,0.878034713525478,0.891191253488778,365,0.838356164383562,0.156164383561644,0.00547945205479452,0,0,0,125,60,28,0,0,0,0,0.556164383561644,0.443835616438356,46.254606,118.480374,61.141454094924,51.2664234464529,76.6514738566083
"28",15526,2005,42043,0.802840836830432,0.796239883905928,0.813731378525159,365,0.391780821917808,0.512328767123288,0.0849315068493151,0.010958904109589,0,0,174,100,58,0,0.0684931506849315,0.279452054794521,0.063013698630137,0.589041095890411,0,40.412565,76.792634,61.141454094924,51.2664234464529,76.6514738566083
"29",15527,2005,39089,1.19208552660083,1.21025379645503,1.18371477569903,234,0.636752136752137,0.260683760683761,0.094017094017094,0.00854700854700855,0,0,151,101,44,0,0,0.88034188034188,0,0,0.11965811965812,40.093609,82.481251,61.141454094924,51.2664234464529,76.6514738566083
"30",15528,2005,55131,0.684562686676799,0.677914695929136,0.692738176296779,185,0.686486486486486,0.243243243243243,0.0702702702702703,0,0,0,140,93,42,0,0,1,0,0,0,43.391156,88.232917,61.141454094924,51.2664234464529,76.6514738566083
"31",15529,2005,6097,0.769242834051186,0.870766410666487,0.668313712407994,365,0.942465753424658,0.0575342465753425,0,0,0,0,96,44,31,0,0.13972602739726,0.758904109589041,0,0.101369863013699,0,38.532574,122.945194,61.141454094924,51.2664234464529,76.6514738566083
