"","X","Year","FIPS","combined_mort_y","female_mort_y","male_mort_y","Days.with.AQI","Good.Days","Moderate.Days","Unhealthy.Sensitive.Days","Unhealthy.Days","Very.Unhealthy.Days","Hazardous.Days","Max.AQI","Ninetieth.Percentile.AQI","Median.AQI","Days.CO","Days.NO2","Days.Ozone","Days.SO2","Days.PM2.5","Days.PM10","Latitude","Longitude","mean_mort_c","mean_mort_f","mean_mort_m"
"1",11543,2000,12089,1.20438838294969,1.26565235915753,1.12775023866164,363,0.716253443526171,0.18732782369146,0.09366391184573,0.00275482093663912,0,0,200,99,29,0,0,0,0.62534435261708,0,0.37465564738292,30.605926,81.764929,59.9244037002584,48.1552302815907,79.5938390496298
"2",11544,2000,22073,1.13279224585703,1.14146421866357,1.15400528459788,366,0.655737704918033,0.251366120218579,0.087431693989071,0.00546448087431694,0,0,174,100,40,0,0,0.773224043715847,0.00546448087431694,0.221311475409836,0,32.477495,92.154798,59.9244037002584,48.1552302815907,79.5938390496298
"3",11545,2000,5113,1.17740309167648,1.03012798028677,1.27244593419784,125,0.48,0.52,0,0,0,0,85,69,51,0,0,0,0,1,0,34.490915,94.230884,59.9244037002584,48.1552302815907,79.5938390496298
"4",11546,2000,13089,0.759399834045278,0.780400225143226,0.764367912403296,366,0.193989071038251,0.620218579234973,0.133879781420765,0.0355191256830601,0.0163934426229508,0,233,133,67,0,0.0491803278688525,0.286885245901639,0,0.66120218579235,0.00273224043715847,33.770661,84.226343,59.9244037002584,48.1552302815907,79.5938390496298
"5",11547,2000,51195,1.68250529389088,1.52913568220006,1.861047439551,41,1,0,0,0,0,0,40,30,19,0,0,0,0,0,1,36.974561,82.62156,59.9244037002584,48.1552302815907,79.5938390496298
"6",11548,2000,37001,1.00024670762486,1.02636374809091,0.994431105106447,104,0.355769230769231,0.634615384615385,0.00961538461538462,0,0,0,104,76,56,0,0,0,0,1,0,36.041974,79.399935,59.9244037002584,48.1552302815907,79.5938390496298
"7",11549,2000,30031,0.902393234754478,0.933188507247511,0.866739846780042,337,0.913946587537092,0.0741839762611276,0.00593471810089021,0.00593471810089021,0,0,167,45,11,0.587537091988131,0,0,0,0.275964391691395,0.136498516320475,45.535559,111.173443,59.9244037002584,48.1552302815907,79.5938390496298
"8",11550,2000,8069,0.915515209180959,0.908477146779529,0.91552546106801,366,0.576502732240437,0.363387978142077,0.0546448087431694,0.00546448087431694,0,0,159,90,47,0.00546448087431694,0,0.931693989071038,0,0.0601092896174863,0.00273224043715847,40.663091,105.482131,59.9244037002584,48.1552302815907,79.5938390496298
"9",11551,2000,29093,1.56303501492505,1.55125275741237,1.5908714674941,366,0.565573770491803,0.101092896174863,0.174863387978142,0.158469945355191,0,0,200,176,36,0,0,0,1,0,0,37.62596,90.699627,59.9244037002584,48.1552302815907,79.5938390496298
"10",11552,2000,20133,0.996270968341149,0.971981360870025,1.03328329130563,59,0.966101694915254,0.0338983050847458,0,0,0,0,64,36,20,0,0,0,0,0,1,37.564283,95.315683,59.9244037002584,48.1552302815907,79.5938390496298
"11",11553,2000,23019,1.14597152212399,1.16131996792728,1.14664433126169,170,0.952941176470588,0.0352941176470588,0.0117647058823529,0,0,0,105,44,29,0,0,0.794117647058823,0,0,0.205882352941176,45.390602,68.657487,59.9244037002584,48.1552302815907,79.5938390496298
"12",11554,2000,55045,0.836514960423455,0.749424577504931,0.938350689575211,72,0.791666666666667,0.166666666666667,0.0277777777777778,0.0138888888888889,0,0,156,67,38,0,0,1,0,0,0,42.677728,89.605639,59.9244037002584,48.1552302815907,79.5938390496298
"13",11555,2000,18045,1.24560406418168,1.23159068504753,1.28791151164682,361,0.828254847645429,0.110803324099723,0.0609418282548477,0,0,0,130,82,14,0,0,0,1,0,0,40.121282,87.234806,59.9244037002584,48.1552302815907,79.5938390496298
"14",11556,2000,39081,1.24397956482655,1.20409376709054,1.2829406899564,366,0.215846994535519,0.590163934426229,0.172131147540984,0.0218579234972678,0,0,196,119,67,0.0409836065573771,0,0.155737704918033,0.346994535519126,0.453551912568306,0.00273224043715847,40.399188,80.76141,59.9244037002584,48.1552302815907,79.5938390496298
"15",11557,2000,16027,0.972729920820673,0.941085586007111,0.979983669703436,366,0.855191256830601,0.133879781420765,0.0109289617486339,0,0,0,117,55,32,0.598360655737705,0,0,0,0.139344262295082,0.262295081967213,43.623051,116.708527,59.9244037002584,48.1552302815907,79.5938390496298
"16",11558,2000,39063,0.859757522782843,0.848337039390854,0.883544506113698,50,1,0,0,0,0,0,44,35,25,0,0,0,0,0,1,41.000471,83.666034,59.9244037002584,48.1552302815907,79.5938390496298
"17",11559,2000,37087,1.02604919631527,0.996089401396838,1.06355115863882,299,0.367892976588629,0.45819397993311,0.150501672240803,0.0234113712374582,0,0,174,115,59,0,0,0.769230769230769,0,0.224080267558528,0.00668896321070234,35.557097,82.972807,59.9244037002584,48.1552302815907,79.5938390496298
"18",11560,2000,6095,0.969120275907384,0.999961263932073,0.925889159063003,366,0.792349726775956,0.177595628415301,0.0245901639344262,0.00546448087431694,0,0,153,67,37,0.0382513661202186,0.166666666666667,0.650273224043716,0,0.144808743169399,0,38.267226,121.939594,59.9244037002584,48.1552302815907,79.5938390496298
"19",11561,2000,53067,0.987837945789462,1.07388580814064,0.897097418424925,366,0.781420765027322,0.19672131147541,0.0218579234972678,0,0,0,128,65,34,0.210382513661202,0,0.404371584699454,0,0.385245901639344,0,46.932598,122.829441,59.9244037002584,48.1552302815907,79.5938390496298
"20",11562,2000,23005,0.982373298514098,1.02428449502075,0.957775579404612,366,0.907103825136612,0.0901639344262295,0.00273224043715847,0,0,0,133,50,29,0,0,0.472677595628415,0.453551912568306,0,0.0737704918032787,43.808348,70.330375,59.9244037002584,48.1552302815907,79.5938390496298
"21",11563,2000,47121,1.20752320044791,1.2314129438241,1.18609511222761,229,0.427947598253275,0.379912663755459,0.122270742358079,0.0698689956331878,0,0,197,126,58,0,0,1,0,0,0,35.503397,84.823888,59.9244037002584,48.1552302815907,79.5938390496298
"22",11564,2000,27123,0.858159400302477,0.905071920727654,0.84346915086234,366,0.622950819672131,0.355191256830601,0.0218579234972678,0,0,0,143,73,42,0.046448087431694,0.330601092896175,0,0.0218579234972678,0.508196721311475,0.092896174863388,45.01525,93.100141,59.9244037002584,48.1552302815907,79.5938390496298
"23",11565,2000,22033,0.770779596234484,0.80821394550852,0.755041815799589,366,0.306010928961749,0.516393442622951,0.112021857923497,0.0546448087431694,0.0109289617486339,0,217,135,62,0,0.0409836065573771,0.404371584699454,0.0437158469945355,0.508196721311475,0.00273224043715847,30.544002,91.093174,59.9244037002584,48.1552302815907,79.5938390496298
"24",11566,2000,42029,0.802672783862383,0.85019323001331,0.754978836928254,120,0.733333333333333,0.225,0.0333333333333333,0.00833333333333333,0,0,154,84,38,0,0,1,0,0,0,39.973965,75.749732,59.9244037002584,48.1552302815907,79.5938390496298
"25",11567,2000,13059,0.88770956483159,0.878256215765212,0.904842914147722,92,0.25,0.695652173913043,0.0543478260869565,0,0,0,142,84,62,0,0,0,0,1,0,33.952234,83.36713,59.9244037002584,48.1552302815907,79.5938390496298
"26",11568,2000,39049,1.10062385814466,1.14922339663077,1.07593934208124,366,0.265027322404372,0.658469945355191,0.0737704918032787,0.00273224043715847,0,0,179,93,62,0,0,0.204918032786885,0.0355191256830601,0.743169398907104,0.0163934426229508,39.969447,83.008258,59.9244037002584,48.1552302815907,79.5938390496298
"27",11569,2000,36079,0.727975130234105,0.800452050259563,0.670833758631357,365,0.893150684931507,0.0712328767123288,0.0328767123287671,0.00273972602739726,0,0,187,55,26,0,0,0.580821917808219,0.419178082191781,0,0,41.427904,73.743882,59.9244037002584,48.1552302815907,79.5938390496298
"28",11570,2000,39147,0.988350732482933,0.901482507504796,1.06344504667083,181,0.977900552486188,0.0220994475138122,0,0,0,0,77,31,18,0,0,0,0,0,1,41.120008,83.127436,59.9244037002584,48.1552302815907,79.5938390496298
"29",11571,2000,30063,1.12539674919287,1.22838506424458,1.03205891230718,366,0.852459016393443,0.117486338797814,0.0245901639344262,0.00273224043715847,0.00273224043715847,0,229,61,24,0.270491803278688,0,0,0,0.300546448087432,0.42896174863388,47.027263,113.892681,59.9244037002584,48.1552302815907,79.5938390496298
"30",11572,2000,12101,0.973605062566924,1.05491227493995,0.860122540270146,362,0.687845303867403,0.259668508287293,0.0497237569060774,0.00276243093922652,0,0,159,90,43,0,0,1,0,0,0,28.302024,82.455707,59.9244037002584,48.1552302815907,79.5938390496298
"31",11573,2000,13121,0.81393370534452,0.842976695365026,0.809711318547573,366,0.224043715846995,0.557377049180328,0.158469945355191,0.0437158469945355,0.0163934426229508,0,228,136,67,0,0.092896174863388,0.275956284153005,0.0737704918032787,0.554644808743169,0.00273224043715847,33.790034,84.468182,59.9244037002584,48.1552302815907,79.5938390496298
"32",11574,2000,27139,0.751210637479584,0.725647267870293,0.775869996764714,85,0.6,0.376470588235294,0.0235294117647059,0,0,0,106,78,38,0,0,0,0,1,0,44.651932,93.534553,59.9244037002584,48.1552302815907,79.5938390496298
"33",11575,2000,23017,1.2760086267565,1.32253271752994,1.20730644679828,364,0.991758241758242,0.00824175824175824,0,0,0,0,84,39,21,0,0,0.5,0.414835164835165,0,0.0851648351648352,44.494585,70.734688,59.9244037002584,48.1552302815907,79.5938390496298
"34",11576,2000,33001,1.09182704873509,1.14853394102374,1.01578722796869,15,0.733333333333333,0.266666666666667,0,0,0,0,76,72,37,0,0,0,0,1,0,43.519109,71.425366,59.9244037002584,48.1552302815907,79.5938390496298
"35",11577,2000,48135,1.62088018750679,1.70554786302747,1.54535821573262,56,0.875,0.125,0,0,0,0,63,54,31,0,0,0,0,1,0,31.865301,102.542507,59.9244037002584,48.1552302815907,79.5938390496298
"36",11578,2000,23003,1.04725287783609,0.972050257360574,1.11650510134749,353,0.960339943342776,0.0396600566572238,0,0,0,0,90,32,15,0,0,0,0,0,1,46.727057,68.64941,59.9244037002584,48.1552302815907,79.5938390496298
"37",11579,2000,48469,0.858429667253352,0.894803532336272,0.820665023594433,353,0.909348441926346,0.0651558073654391,0.0226628895184136,0.0028328611898017,0,0,154,50,30,0,0,1,0,0,0,28.79637,96.971198,59.9244037002584,48.1552302815907,79.5938390496298
"38",11580,2000,53053,1.13806539686396,1.22770511331849,1.04830380829665,366,0.527322404371585,0.418032786885246,0.0437158469945355,0.0109289617486339,0,0,159,93,49,0,0,0.379781420765027,0,0.617486338797814,0.00273224043715847,47.040716,122.144709,59.9244037002584,48.1552302815907,79.5938390496298
"39",11581,2000,1051,1.2187976268214,1.15275246853691,1.30554374920697,242,0.516528925619835,0.322314049586777,0.152892561983471,0.00826446280991736,0,0,166,112,50,0,0,1,0,0,0,32.597229,86.142739,59.9244037002584,48.1552302815907,79.5938390496298
"40",11582,2000,8085,1.16154407291084,1.06120507486728,1.22160733864485,98,0.938775510204082,0.0612244897959184,0,0,0,0,75,45,25,0,0,0,0,0,1,38.413427,108.263042,59.9244037002584,48.1552302815907,79.5938390496298
